Prefecture,Name,Address,Description,Location,Target,URL
山梨県,河口湖第2団,山梨県南都留郡富士河口湖町船津3663-8,"主な活動場所: 中央公民館前広場（スカウトハウス）等
参加対象: 男
詳細URL: https://find-local.scout.or.jp/yamanashi/kawaguchiko2/",中央公民館前広場（スカウトハウス）等,男,https://find-local.scout.or.jp/yamanashi/kawaguchiko2/
山梨県,都留第1団,山梨県,"主な活動場所: 都留YLO、都留ふるさと会館等
参加対象: 男
詳細URL: https://find-local.scout.or.jp/yamanashi/tsuru1/",都留YLO、都留ふるさと会館等,男,https://find-local.scout.or.jp/yamanashi/tsuru1/
山梨県,富士吉田第1団,山梨県,"主な活動場所: 富士吉田青少年センター、大正寺等
参加対象: 男
詳細URL: https://find-local.scout.or.jp/yamanashi/fujiyoshida1/",富士吉田青少年センター、大正寺等,男,https://find-local.scout.or.jp/yamanashi/fujiyoshida1/
長野県,上田第5団,長野県上田市,"主な活動場所: 大星神社、中央公民館、真田町
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/nagano/ueda5/",大星神社、中央公民館、真田町,男女,https://find-local.scout.or.jp/nagano/ueda5/
長野県,上田第13団,長野県上田市諏訪形1938,"主な活動場所: スカウトハウス
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/nagano/ueda13/",スカウトハウス,男女,https://find-local.scout.or.jp/nagano/ueda13/
長野県,立科第1団,長野県北佐久郡立科町芦田2529-15,"主な活動場所: 立科町内、東信地区内
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/nagano/tateshina1/",立科町内、東信地区内,男女,https://find-local.scout.or.jp/nagano/tateshina1/
長野県,軽井沢第8団,長野県北佐久郡御代田町草1173-1051,"主な活動場所: 軽井沢町周辺、御代田町周辺
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/nagano/karuizawa8/",軽井沢町周辺、御代田町周辺,男女,https://find-local.scout.or.jp/nagano/karuizawa8/
長野県,長野第1団,長野県長野市三輪10-14-5,"主な活動場所: 長野市周辺
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/nagano/nagano1/",長野市周辺,男女,https://find-local.scout.or.jp/nagano/nagano1/
長野県,長野第15団,長野県長野市高田1167-3,"主な活動場所: 長野市周辺
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/nagano/nagano15/",長野市周辺,男女,https://find-local.scout.or.jp/nagano/nagano15/
長野県,長野第18団,長野県長野市川中島町四ツ屋,"主な活動場所: 松代町周辺・スカウトハウス（象山神社境内）
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/nagano/nagano18/",松代町周辺・スカウトハウス（象山神社境内）,男女,https://find-local.scout.or.jp/nagano/nagano18/
長野県,松本第6団,長野県松本市松原81-4,"主な活動場所: 松本市スカイパーク、長野県林業総合センター
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/nagano/matsumoto6/",松本市スカイパーク、長野県林業総合センター,男女,https://find-local.scout.or.jp/nagano/matsumoto6/
長野県,松本第7団,長野県,"主な活動場所: 
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/nagano/matsumoto7/",,男女,https://find-local.scout.or.jp/nagano/matsumoto7/
長野県,松本第8団,長野県松本市両島7-3 ボーイスカウト松本第8団 団本部,"主な活動場所: 松本市内の公民館、団スカウトハウス（松本市南小松）、団キャンプ場（松本市内田）、地区キャンプ場（松本市芥子坊主農村公園）、ビーバー農園（松本市中山）、等々
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/nagano/matsumoto8/",松本市内の公民館、団スカウトハウス（松本市南小松）、団キャンプ場（松本市内田）、地区キャンプ場（松本市芥子坊主農村公園）、ビーバー農園（松本市中山）、等々,男女,https://find-local.scout.or.jp/nagano/matsumoto8/
